Season,Week,Team,Player,Position,PlayerID,GSISID,percentile,pass_att,pass_comp,pass_td,pass_int,pass_yards,pass_longest,rush_att,design_rushes,scrambles,kneels,rush_td,design_rush_td,scramble_td,rush_yards,design_rush_yards,scramble_rush_yards,kneel_rush_yards,rush_longest,targets,catches,rec_td,rec_yards,rec_longest,pass_rush_td,rec_rush_td,pass_rush_yards,rec_rush_yards,fumble,fantasy_pts,fantasy_pts_ppr,fantasy_pts_dk,fantasy_pts_fd
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.33,30.0,20.0,1.0,0.0,212.0,29.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,28.0,11.0,10.0,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,253.0,28.0,0.0,17.52,17.54,18.78,18.3
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.34,30.0,20.0,1.0,0.0,214.0,29.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,28.0,11.0,10.0,-1.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,255.0,28.0,0.0,17.78,17.78,19.02,18.5
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.35,31.0,20.0,1.0,0.0,216.0,30.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,29.0,12.0,10.0,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,257.0,29.0,0.0,18.0,18.02,19.24,18.74
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.36,31.0,20.0,1.0,0.0,218.0,30.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,30.0,12.0,11.0,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,259.0,30.0,0.0,18.2,18.2,19.44,18.94
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.37,31.0,20.0,1.0,0.0,219.0,30.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,30.0,13.0,11.0,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,261.0,30.0,0.0,18.36,18.38,19.66,19.16
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.38,31.0,20.0,1.0,0.0,221.0,30.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,31.0,13.0,11.0,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,262.0,31.0,0.0,18.52,18.54,19.9,19.36
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.39,31.0,21.0,1.0,0.0,223.0,31.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,32.0,14.0,12.0,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,264.61,32.0,0.0,18.7522,18.76,20.1,19.54
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.4,32.0,21.0,1.0,0.0,225.0,31.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,32.0,14.0,12.0,-1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,266.0,32.0,0.0,18.98,19.0,20.32,19.74
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.41,32.0,21.0,1.0,0.0,226.0,31.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,33.0,14.0,12.0,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,269.0,33.0,0.0,19.18,19.2,20.54,19.9518
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.42,32.0,21.0,1.0,0.0,228.0,32.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,34.0,15.0,13.0,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,270.0,34.0,0.0,19.4,19.42,20.7,20.16
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.43,32.0,21.0,1.0,0.0,230.0,32.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,34.0,15.0,13.0,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,273.0,34.0,0.0,19.6,19.6,20.94,20.32
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.44,32.0,21.0,1.0,0.0,231.0,32.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,35.0,16.0,14.0,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,275.0,35.0,0.0,19.78,19.8,21.16,20.52
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.45,33.0,21.0,1.0,0.0,233.0,33.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,36.0,16.0,14.0,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,277.0,36.0,0.0,20.0,20.031,21.4,20.68
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.46,33.0,22.0,1.0,0.0,234.54,33.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,36.0,17.0,14.0,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,279.0,36.0,0.0,20.24,20.24,21.62,20.92
2022,15,BUF,Josh Allen,QB,19801.0,00-0034857,0.47,33.0,22.0,1.0,0.0,236.0,34.0,8.0,4.0,2.0,1.0,0.0,0.0,0.0,37.0,17.0,15.0,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,281.0,37.0,0.0,20.42,20.44,21.82,21.12
